"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,"Roof,DR,%"
1.5,60.0,5.9,1.0,1.04,1.47,100.0,0.26,10.0
1.6,60.0,1.7,1.0,1.17,0.26,100.0,0.92,2.6
0.8,60.0,1.1,1.45,1.02,0.21,67.7,0.52,0.6
0.3,60.0,0.9,1.31,1.0,0.5,78.6,0.26,1.1
1.0,90.0,0.8,1.0,0.98,0.19,100.0,1.36,0.7
0.1,60.0,0.4,1.0,1.0,1.47,100.0,0.26,0.8
1.1,60.0,4.2,1.0,1.02,1.47,100.0,0.26,6.3
1.5,60.0,2.3,1.3,1.04,0.28,83.7,0.55,1.9
1.9,90.0,1.4,1.0,1.03,0.19,100.0,1.36,1.4
0.7,90.0,1.1,1.0,1.01,0.24,100.0,0.69,0.5
1.4,60.0,1.5,1.0,1.01,0.26,100.0,0.92,2.5
0.7,90.0,2.6,1.0,1.01,1.47,100.0,0.26,5.0
2.3,90.0,3.2,1.0,1.11,0.24,100.0,0.7,3.0
0.1,60.0,0.2,1.31,0.99,1.26,80.7,0.39,0.2
1.5,60.0,6.0,1.0,1.04,1.47,100.0,0.26,11.8
0.6,90.0,1.5,1.0,1.01,0.36,100.0,0.41,1.6
0.8,60.0,2.5,1.31,1.1,0.5,77.2,0.26,4.3
1.4,60.0,1.5,1.0,1.13,0.26,100.0,0.92,2.2
0.4,60.0,0.8,1.31,1.0,1.26,77.2,0.4,0.7
1.1,60.0,1.7,1.3,1.02,0.28,82.4,0.55,1.4
0.4,60.0,1.3,1.31,1.02,0.47,85.4,0.24,1.1
1.1,90.0,1.6,1.0,1.11,0.24,100.0,0.7,1.4
1.1,60.0,0.6,1.41,1.0,0.23,71.2,1.15,0.9
0.1,60.0,0.2,1.43,0.95,0.55,75.8,0.36,0.1
0.4,60.0,0.9,1.31,1.0,1.26,77.2,0.4,0.4
0.7,90.0,2.6,1.0,1.01,1.47,100.0,0.26,5.0
1.5,60.0,2.1,1.49,1.31,0.24,67.1,0.6,2.7
2.6,90.0,6.4,1.0,1.46,0.36,100.0,0.41,8.0
0.8,60.0,1.6,1.37,1.01,0.97,80.2,0.39,0.7
0.8,60.0,1.2,1.3,1.03,0.28,82.5,0.55,1.0
2.0,60.0,2.9,1.0,1.3,0.33,100.0,0.68,4.4
0.9,60.0,0.5,1.41,0.84,0.23,69.5,1.16,0.6
0.6,60.0,1.6,1.31,1.01,0.44,80.6,0.29,1.7
0.6,60.0,0.6,1.0,0.99,0.26,100.0,0.92,0.8
0.6,60.0,1.8,1.31,1.01,0.5,79.3,0.26,2.3
0.4,60.0,1.2,1.27,1.02,0.38,84.5,0.3,1.0
0.6,60.0,1.2,1.43,1.01,0.55,75.8,0.36,1.1
1.6,60.0,1.9,1.3,1.04,0.27,83.6,0.66,1.8
1.5,60.0,6.0,1.0,1.04,1.47,100.0,0.26,7.0
1.1,60.0,1.1,1.0,1.0,0.32,100.0,1.02,2.5
0.3,60.0,1.1,1.26,1.0,0.49,90.2,0.25,1.0
1.2,60.0,2.0,1.37,1.03,0.32,71.3,0.42,2.0
2.1,60.0,2.6,1.0,1.08,0.29,100.0,0.8,3.0
0.4,60.0,1.0,1.31,1.0,0.5,79.4,0.26,1.3
0.3,90.0,2.8,1.0,1.01,1.47,100.0,0.26,5.1
0.1,60.0,0.2,1.37,0.99,0.97,77.1,0.4,0.1
1.3,60.0,4.9,1.0,1.03,1.47,100.0,0.26,9.5
0.7,60.0,2.0,1.31,1.07,0.5,77.2,0.26,2.6
0.4,60.0,1.2,1.27,1.02,0.38,88.2,0.3,0.9
1.3,60.0,3.9,1.0,1.07,0.41,100.0,0.35,4.0
0.3,60.0,1.1,1.26,1.01,0.49,87.8,0.25,1.1
0.8,90.0,1.9,1.0,1.02,0.36,100.0,0.41,1.6
0.9,60.0,1.2,1.49,1.05,0.24,79.2,0.58,1.6
0.2,60.0,0.2,1.49,0.96,0.24,66.5,0.6,0.9
1.3,90.0,1.9,1.0,1.04,0.24,100.0,0.7,1.5
1.7,90.0,1.3,1.0,1.08,0.19,100.0,1.36,1.4
1.8,60.0,1.9,1.0,1.03,0.26,100.0,0.92,2.5
0.4,60.0,0.9,1.31,1.0,1.26,77.4,0.4,0.7
