"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,Target
0.9,60,1.2,1.49,1.05,0.24,79.2,0.58,1.6
0.2,60,0.2,1.49,0.78,0.24,67.1,0.6,1.1
0.8,60,1.1,1.49,1.03,0.24,67.1,0.6,1.7
1.1,60,1.5,1.49,1.15,0.24,67.1,0.6,2.1
1.5,60,2.1,1.49,1.31,0.24,67.1,0.6,2.7
0.5,60,1.3,1.27,1.03,0.38,84.5,0.3,1.2
0.4,60,1.2,1.27,1.02,0.38,84.5,0.3,1
0.6,60,1.7,1.27,1.08,0.38,84.5,0.3,1.5
0.4,60,0.8,1.27,0.98,0.35,83,0.43,1.1
0.4,60,0.8,1.27,0.97,0.35,83,0.43,1.3
0.4,60,0.7,1.27,0.96,0.35,83,0.43,1
0.7,60,1.3,1.27,1.05,0.35,83,0.43,1.8
1,60,2,1.27,1.13,0.35,83,0.43,2.4
1.3,60,2.6,1.27,1.22,0.35,83,0.43,3.1
0.1,60,0.2,1.43,0.95,0.55,75.8,0.36,0.1
0.2,60,0.4,1.43,0.97,0.55,75.8,0.36,0.3
0.6,60,1.2,1.43,1.01,0.55,75.8,0.36,1.1
0.6,60,1.3,1.43,1.01,0.55,75.8,0.36,0.9
0.8,60,1.3,1.44,1.03,0.4,73.1,0.47,1.1
1.8,60,1.3,1,1.13,0.19,100,1.37,1.2
2.5,60,1.9,1,1.4,0.19,100,1.37,2.2
2.7,60,2,1,1.45,0.19,100,1.37,2.4
1.4,60,3.5,1,1.32,0.36,100,0.41,1.9
2.2,60,5.4,1,1.56,0.36,100,0.41,3.7
1.7,60,2.5,1,1.43,0.24,100,0.7,1.3
2.4,60,3.5,1,1.72,0.24,100,0.7,3.4
1.1,60,3.1,1,1.2,0.41,100,0.35,2.4
1.7,60,5,1,1.39,0.41,100,0.35,3.5
2.7,60,3.4,1,1.49,0.29,100,0.8,3
2.6,60,3.3,1,1.46,0.29,100,0.8,3.9
0.4,90,1,1,1,0.36,100,0.41,0.7
0.8,90,1.9,1,1.08,0.36,100,0.41,1.6
2.6,90,6.4,1,1.46,0.36,100,0.41,2.5
1.2,90,1.7,1,1.08,0.33,100,0.68,2.1
1.6,90,2.3,1,1.14,0.33,100,0.68,2.4
0.7,90,1.9,1,1.06,0.41,100,0.35,1
1,90,3,1,1.13,0.41,100,0.35,2.9
0.9,90,2.1,1,1.09,0.36,100,0.41,0.9
1.5,90,3.7,1,1.23,0.36,100,0.41,3.6
1.2,60,1.8,1,1.12,0.33,100,0.68,1.9
2,60,2.9,1,1.3,0.33,100,0.68,2.6
2,60,3,1,1.3,0.33,100,0.68,2.6
1.3,90,1.9,1,1.17,0.24,100,0.7,1.5
2.2,90,3.2,1,1.42,0.24,100,0.7,2.4
2.3,90,3.2,1,1.45,0.24,100,0.7,3.6
1.1,90,0.8,1,0.95,0.19,100,1.36,1
1.8,90,1.3,1,1.1,0.19,100,1.36,1.4
2.3,90,1.7,1,1.22,0.19,100,1.36,1.8
1.2,90,0.9,1,0.97,0.19,100,1.36,0.9
1.9,90,1.4,1,1.13,0.19,100,1.36,1.4
0.9,90,1.3,1,1.05,0.24,100,0.69,0.5
1.5,90,2.1,1,1.22,0.24,100,0.69,1.8
1.7,90,2.4,1,1.27,0.24,100,0.69,1.9
0.8,90,1,1,1,0.29,100,0.8,0.9
1.5,90,1.9,1,1.12,0.29,100,0.8,2
1.6,90,2,1,1.13,0.29,100,0.8,2.2
0.8,60,1,1.3,1,0.27,82.3,0.66,0.8
1.2,60,1.4,1.3,1.1,0.27,82.3,0.66,1.4
1.5,60,1.9,1.3,1.21,0.27,82.3,0.66,2
0.8,60,1.2,1.3,1.03,0.28,82.7,0.55,0.8
1.1,60,1.7,1.3,1.15,0.28,82.7,0.55,1.5
1.5,60,2.3,1.3,1.26,0.28,82.7,0.55,1.9
0.1,60,1.1,1.26,1,2.13,83.5,0.11,1.1
