"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,Target
0.7,90,2.6,1,1.01,1.47,100,0.26,5
0.3,90,1.1,1,1,1.47,100,0.26,1.6
1,60,4,1,1.02,1.47,100,0.26,6.3
0.7,90,2.6,1,1.01,1.47,100,0.26,5.1
1.3,60,4.9,1,1.03,1.47,100,0.26,8.8
1.5,60,5.9,1,1.04,1.47,100,0.26,9.9
1.5,60,5.9,1,1.04,1.47,100,0.26,7
1.5,60,5.9,1,1.04,1.47,100,0.26,10
0.1,60,0.2,1.37,0.99,0.97,80.2,0.39,0.2
0.3,60,0.6,1.37,0.99,0.97,80.2,0.39,0.5
0.6,60,1.2,1.37,1,0.97,80.2,0.39,1
1.1,60,2.2,1.37,1.02,0.97,80.2,0.39,1.8
0.8,60,1.6,1.37,1.01,0.97,80.2,0.39,0.7
0.1,60,0.2,1.31,0.99,1.26,75.5,0.4,0.1
0.2,60,0.4,1.31,0.99,1.26,75.5,0.4,0.2
0.4,60,0.9,1.31,1,1.26,75.5,0.4,0.4
0.9,60,1.9,1.31,1.01,1.26,75.5,0.4,0.8
0.4,60,0.9,1.31,1,1.26,75.5,0.4,0.7
0.5,60,0.6,1,0.99,0.26,100,0.92,0.5
1,60,1.1,1,1,0.26,100,0.92,1.7
1.5,60,1.7,1,1.02,0.26,100,0.92,2.5
2.1,60,2.3,1,1.04,0.26,100,0.92,3.5
2,60,2.1,1,1.03,0.26,100,0.92,3
2.1,60,2.3,1,1.04,0.26,100,0.92,3.5
1.6,60,1.7,1,1.02,0.26,100,0.92,2.2
1,60,1.1,1,1,0.26,100,0.92,1.8
0.6,60,0.6,1,0.99,0.26,100,0.92,0.8
2,60,2.1,1,1.03,0.26,100,0.92,3.5
0.4,60,0.4,1,0.99,0.32,100,1.02,0.9
0.9,60,0.8,1,1,0.32,100,1.02,1.7
1.3,60,1.2,1,1,0.32,100,1.02,2.2
1.7,60,1.7,1,1.01,0.32,100,1.02,3
1.7,60,1.6,1,1.01,0.32,100,1.02,3.4
1.7,60,1.6,1,1.01,0.32,100,1.03,3
1.3,60,1.3,1,1,0.32,100,1.03,2.7
0.9,60,0.8,1,1,0.32,100,1.03,2.1
0.4,60,0.4,1,0.99,0.32,100,1.03,1.1
1.7,60,1.6,1,1.01,0.32,100,1.03,3.1
0.1,60,0.3,1.37,0.99,0.97,75.5,0.4,0.1
0.3,60,0.6,1.37,0.99,0.97,75.5,0.4,0.3
0.7,60,1.3,1.37,1.01,0.97,75.5,0.4,0.6
1.3,60,2.6,1.37,1.03,0.97,75.5,0.4,0.9
1.4,60,2.7,1.37,1.03,0.97,75.5,0.4,1
1.6,60,3.2,1.37,1.04,0.97,75.5,0.4,1.3
0.1,60,0.2,1.31,0.99,1.26,80.2,0.39,0.2
0.2,60,0.5,1.31,0.99,1.26,80.2,0.39,0.6
0.4,60,0.9,1.31,1,1.26,80.2,0.39,1
0.9,60,1.8,1.31,1.01,1.26,80.2,0.39,1.8
0.9,60,1.8,1.31,1.01,1.26,80.2,0.39,1.9
0.7,60,1.5,1.31,1.01,1.26,80.2,0.39,1.2
0.8,60,1.1,1.45,1,0.21,67.7,0.52,1.2
1.5,60,2,1.45,1.06,0.21,67.7,0.52,2
1.3,60,1.2,1.45,1.01,0.19,67.7,0.78,2.3
0.4,60,1.2,1.31,1,0.45,82.6,0.24,1
0.6,60,2.1,1.31,1.01,0.45,82.6,0.24,2.1
0.7,60,2.4,1.31,1.02,0.45,82.6,0.24,2.8
0.4,60,1.3,1.31,1,0.47,86,0.24,1.1
0.6,60,2.2,1.31,1.01,0.47,86,0.24,2
0.7,60,2.6,1.31,1.02,0.47,86,0.24,2.6
0.6,60,0.9,1.37,1,0.32,74.6,0.42,1.3
1.1,60,1.7,1.37,1.02,0.32,74.6,0.42,2.4
1.3,60,2.1,1.37,1.03,0.32,74.6,0.42,3.1
1.4,60,2.4,1.37,1.03,0.32,74.6,0.42,2.9
0.5,60,1.3,1.37,1.01,0.37,74.6,0.29,1.3
0.9,60,2.2,1.37,1.02,0.37,74.6,0.29,2.5
0.9,60,2.3,1.37,1.02,0.37,74.6,0.29,2.6
0.5,60,1.2,1.37,1,0.37,74.6,0.29,0.8
0.6,60,1,1.37,1,0.33,74.6,0.42,1
1.3,60,2.1,1.37,1.03,0.33,74.6,0.42,2.1
1.5,60,2.4,1.37,1.03,0.33,74.6,0.42,2.8
0.3,60,0.9,1.31,1,0.5,80,0.26,1.3
0.6,60,1.8,1.31,1.01,0.5,80,0.26,2.3
0.9,60,2.5,1.31,1.02,0.5,80,0.26,4.4
0.1,60,0.3,1.31,0.99,0.5,80,0.26,0.4
0.2,60,0.6,1.31,1,0.5,80,0.26,0.8
0.4,60,1,1.31,1,0.5,80,0.26,1.1
0.4,60,1,1.31,1,0.5,80,0.26,1.1
0.5,60,1.5,1.31,1.01,0.5,80,0.26,1.7
0.7,60,2,1.31,1.01,0.5,80,0.26,2.6
0.8,60,2.5,1.31,1.02,0.5,80,0.26,4.3
0.4,60,1.1,1.36,1,0.4,83.3,0.29,1.1
0.4,60,1.1,1.32,1,0.41,83.5,0.29,1
0.3,60,1.1,1.26,1,0.49,92.6,0.25,1.1
0.5,60,1.9,1.26,1.01,0.49,92.6,0.25,1.8
0.8,60,2.8,1.26,1.02,0.49,92.6,0.25,3.6
0.3,60,0.9,1.31,1,0.44,83,0.29,1
0.6,60,1.6,1.31,1.01,0.44,83,0.29,1.7
1,60,2.6,1.31,1.02,0.44,83,0.29,3
1.1,60,0.6,1.41,1,0.23,70.8,1.15,0.7
0.9,60,0.5,1.41,0.99,0.23,70.8,1.16,0.6
1.3,60,0.8,1.41,1,0.23,70.8,1.16,1.1
1.4,60,0.8,1.41,1,0.23,70.8,1.16,1.2
0.9,60,1,1.44,1,0.25,86,0.58,0.1
1.2,60,1.4,1.44,1.02,0.25,86,0.58,0.9
1.6,60,1.8,1.44,1.03,0.25,86,0.58,0.3
2.2,60,2.4,1.44,1.06,0.25,86,0.58,1
0.2,60,0.2,1.49,0.97,0.24,86,0.58,1.4
0.9,60,1.2,1.49,1.01,0.24,86,0.58,1.6
0.2,60,0.2,1.49,0.97,0.24,69.1,0.6,1.1
0.8,60,1.1,1.49,1.01,0.24,69.1,0.6,1.7
1.2,60,1.6,1.49,1.03,0.24,69.1,0.6,2.1
1.6,60,2.2,1.49,1.05,0.24,69.1,0.6,2.7
0.5,60,1.3,1.27,1.01,0.38,90.1,0.3,1.2
0.4,60,1.2,1.27,1,0.38,90.1,0.3,1
0.6,60,1.8,1.27,1.01,0.38,90.1,0.3,1.5
0.4,60,0.8,1.27,1,0.35,90.1,0.43,1.1
0.4,60,0.8,1.27,1,0.35,90.1,0.43,1.3
0.4,60,0.8,1.27,0.99,0.35,90.1,0.43,1
0.7,60,1.4,1.27,1.01,0.35,90.1,0.43,1.8
1.1,60,2,1.27,1.02,0.35,90.1,0.43,2.4
1.4,60,2.7,1.27,1.04,0.35,90.1,0.43,3.1
0.1,60,0.2,1.43,0.99,0.55,79.7,0.36,0.1
0.2,60,0.4,1.43,0.99,0.55,79.7,0.36,0.3
0.6,60,1.2,1.43,1,0.55,79.7,0.36,1.1
0.6,60,1.3,1.43,1,0.55,79.7,0.36,0.9
0.8,60,1.3,1.44,1.01,0.4,79.3,0.47,1.1
1.3,60,1,1,1,0.19,100,1.37,1.2
2,60,1.4,1,1.05,0.19,100,1.37,2.2
2.1,60,1.6,1,1.07,0.19,100,1.37,2.4
1.1,60,2.6,1,1.05,0.36,100,0.41,1.9
1.7,60,4.2,1,1.1,0.36,100,0.41,3.7
1.3,60,1.8,1,1.06,0.24,100,0.7,1.3
1.9,60,2.7,1,1.12,0.24,100,0.7,3.4
0.8,60,2.3,1,1.03,0.41,100,0.35,2.4
1.3,60,3.9,1,1.07,0.41,100,0.35,3.5
2.1,60,2.6,1,1.08,0.29,100,0.8,3
2.1,60,2.6,1,1.08,0.29,100,0.8,3.9
0.3,90,0.8,1,1,0.36,100,0.41,0.7
0.6,90,1.5,1,1.01,0.36,100,0.41,1.6
1,90,2.4,1,1.03,0.36,100,0.41,2.5
0.9,90,1.4,1,1.01,0.33,100,0.68,2.1
1.3,90,1.9,1,1.02,0.33,100,0.68,2.4
0.5,90,1.6,1,1.01,0.41,100,0.35,1
0.8,90,2.4,1,1.02,0.41,100,0.35,2.9
0.7,90,1.7,1,1.01,0.36,100,0.41,0.9
1.2,90,3,1,1.04,0.36,100,0.41,3.6
0.9,60,1.3,1,1.01,0.33,100,0.68,1.9
1.5,60,2.1,1,1.04,0.33,100,0.68,2.6
1.5,60,2.2,1,1.05,0.33,100,0.68,2.6
1.1,90,1.6,1,1.03,0.24,100,0.7,1.5
1.8,90,2.6,1,1.08,0.24,100,0.7,2.4
1.8,90,2.6,1,1.08,0.24,100,0.7,3.6
0.9,90,0.7,1,0.97,0.19,100,1.36,1
1.5,90,1.1,1,1.01,0.19,100,1.36,1.4
2,90,1.4,1,1.03,0.19,100,1.36,1.8
1,90,0.8,1,0.98,0.19,100,1.36,0.9
1.7,90,1.3,1,1.02,0.19,100,1.36,1.4
0.7,90,1.1,1,1,0.24,100,0.69,0.5
1.3,90,1.9,1,1.04,0.24,100,0.69,1.8
1.5,90,2.1,1,1.05,0.24,100,0.69,1.9
0.7,90,0.8,1,0.99,0.29,100,0.8,0.9
1.3,90,1.6,1,1.02,0.29,100,0.8,2
1.4,90,1.7,1,1.02,0.29,100,0.8,2.2
0.8,60,1,1.3,1,0.27,83.7,0.66,0.8
1.2,60,1.5,1.3,1.02,0.27,83.7,0.66,1.4
1.6,60,1.9,1.3,1.04,0.27,83.7,0.66,2
0.8,60,1.2,1.3,1.01,0.28,83.7,0.55,0.8
1.2,60,1.8,1.3,1.03,0.28,83.7,0.55,1.5
1.5,60,2.3,1.3,1.04,0.28,83.7,0.55,1.9
0.1,60,1.1,1.26,1,2.13,90.4,0.11,1.1
0.2,60,1.7,1.28,1,2.05,87.6,0.11,1.2
0.1,60,0.4,1,1,1.47,100,0.26,0.8
0.3,90,1.1,1,1,1.47,100,0.26,1.8
0.7,90,2.8,1,1.01,1.47,100,0.26,5
0.3,90,1,1,1,1.47,100,0.26,1.6
1.1,60,4.2,1,1.02,1.47,100,0.26,6.3
0.3,90,2.8,1,1.01,1.47,100,0.26,5.1
1.3,60,5,1,1.03,1.47,100,0.26,8.8
1.5,60,6,1,1.04,1.47,100,0.26,9.9
1.5,60,6,1,1.04,1.47,100,0.26,7
1.5,60,6,1,1.04,1.47,100,0.26,10
0.1,60,0.2,1.37,0.99,0.97,80.7,0.39,0.2
0.3,60,0.6,1.37,0.99,0.97,80.7,0.39,0.5
0.6,60,1.1,1.37,1,0.97,80.7,0.39,1
1.1,60,2.1,1.37,1.02,0.97,80.7,0.39,1.8
0.8,60,1.6,1.37,1.01,0.97,80.7,0.39,0.7
0.1,60,0.2,1.31,0.99,1.26,77.2,0.4,0.1
0.2,60,0.4,1.31,0.99,1.26,77.2,0.4,0.2
0.4,60,0.9,1.31,1,1.26,77.2,0.4,0.4
0.9,60,1.8,1.31,1.01,1.26,77.2,0.4,0.8
0.4,60,0.8,1.31,1,1.26,77.2,0.4,0.7
0.5,60,0.5,1,0.99,0.26,100,0.92,0.5
0.9,60,1,1,1,0.26,100,0.92,1.7
1.4,60,1.5,1,1.01,0.26,100,0.92,2.5
1.9,60,2,1,1.03,0.26,100,0.92,3.5
1.8,60,1.9,1,1.03,0.26,100,0.92,3
1.9,60,2.1,1,1.03,0.26,100,0.92,3.5
1.4,60,1.5,1,1.01,0.26,100,0.92,2.2
0.9,60,1,1,1,0.26,100,0.92,1.8
0.5,60,0.5,1,0.99,0.26,100,0.92,0.8
1.8,60,1.9,1,1.03,0.26,100,0.92,3.5
0.4,60,0.4,1,0.99,0.32,100,1.02,0.9
0.8,60,0.8,1,1,0.32,100,1.02,1.7
1.1,60,1.1,1,1,0.32,100,1.02,2.2
1.5,60,1.5,1,1.01,0.32,100,1.02,3
1.5,60,1.5,1,1.01,0.32,100,1.02,3.4
1.5,60,1.5,1,1.01,0.32,100,1.03,3
1.2,60,1.1,1,1,0.32,100,1.03,2.7
0.8,60,0.8,1,1,0.32,100,1.03,2.1
0.4,60,0.4,1,0.99,0.32,100,1.03,1.1
1.5,60,1.5,1,1.01,0.32,100,1.03,3.1
0.1,60,0.2,1.37,0.99,0.97,77.2,0.4,0.1
0.3,60,0.6,1.37,0.99,0.97,77.2,0.4,0.3
0.6,60,1.2,1.37,1,0.97,77.2,0.4,0.6
1.2,60,2.4,1.37,1.03,0.97,77.2,0.4,0.9
1.3,60,2.5,1.37,1.03,0.97,77.2,0.4,1
1.6,60,3.1,1.37,1.04,0.97,77.2,0.4,1.3
0.1,60,0.2,1.31,0.99,1.26,80.7,0.39,0.2
0.2,60,0.4,1.31,0.99,1.26,80.7,0.39,0.6
0.4,60,0.9,1.31,1,1.26,80.7,0.39,1
0.8,60,1.7,1.31,1.01,1.26,80.7,0.39,1.8
0.9,60,1.8,1.31,1.01,1.26,80.7,0.39,1.9
0.7,60,1.4,1.31,1,1.26,80.7,0.39,1.2
