"Period, sec",£F,"PGA,g","PGV,in/sec",Target
0.47,1.32,1.26,11.4,2.6
0.32,1.41,0.53,5.8,1.3
0.32,1.41,1.69,10.8,2.4
0.32,1.41,2.19,11.4,3.1
0.32,1.41,1.96,12.8,2.9
0.37,1.4,0.45,5.8,1.3
0.37,1.4,0.86,9.8,2.5
0.37,1.4,1.1,9.1,2.6
0.37,1.41,0.4,6.2,0.8
0.33,1.41,0.44,6.2,1
0.33,1.41,0.91,12.4,2.1
0.33,1.41,1.27,12.1,2.8
0.5,1.32,0.34,5.3,1.3
0.5,1.32,0.79,11.1,2.3
0.5,1.32,1.61,14,4.4
0.5,1.32,0.16,2.2,0.4
0.5,1.32,0.3,3.9,0.8
0.5,1.32,0.45,6.3,1.1
0.5,1.32,0.44,6.3,1.1
0.5,1.32,0.68,9.4,1.7
0.5,1.32,0.98,12.2,2.6
0.5,1.32,2.5,13.6,4.3
0.4,1.39,0.31,5.2,1.1
0.41,1.33,0.3,5.2,1
0.49,1.29,0.36,5.4,1.1
0.49,1.29,0.73,9.7,1.8
0.49,1.29,1.16,14.2,3.6
0.44,1.3,0.33,5.3,1
0.44,1.3,0.55,9.7,1.7
0.44,1.3,1.07,15.6,3
0.23,1.42,0.56,7.4,0.7
0.23,1.42,0.48,6.9,0.6
0.23,1.42,0.79,10.2,1.1
0.23,1.42,1.48,14.1,1.2
0.24,1.52,0.29,2.2,0.1
0.24,1.52,1.5,8.3,0.9
0.24,1.52,0.09,1.3,0.3
0.24,1.52,0.39,6.3,1
0.24,1.52,0.55,8.6,1.4
0.24,1.52,0.79,11.6,1.6
0.25,1.44,0.38,5.9,1.1
0.25,1.44,0.57,8.6,1.7
0.25,1.44,0.77,10.7,2.1
0.25,1.44,1.08,14.6,2.7
0.38,1.31,0.34,6.2,1.2
0.38,1.31,0.33,5.7,1
0.38,1.31,0.5,8.2,1.5
0.35,1.33,0.33,5.2,1.1
0.35,1.33,0.36,5.2,1.3
0.35,1.33,0.33,4.8,1
0.35,1.33,0.63,8.8,1.8
0.35,1.33,0.96,12.7,2.4
0.35,1.33,1.24,15.6,3.1
0.55,1.44,0.08,1.4,0.1
0.55,1.44,0.16,3.2,0.3
0.55,1.44,0.49,8.9,1.1
0.55,1.44,0.48,9.6,0.9
0.4,1.47,0.48,9.6,1.1
0.19,1,1.27,12.8,1.2
0.19,1,2.35,15.6,2.2
0.19,1,2.65,15.6,2.4
0.36,1,0.93,11.9,1.9
0.36,1,3.1,14.9,3.7
0.24,1,0.85,11.4,1.3
0.24,1,3.07,15.1,3.4
0.41,1,0.87,10.8,2.4
0.41,1,3.11,15,3.5
0.29,1,3.26,15.2,3
0.29,1,2.82,15.6,3.9
0.36,1,0.43,4.8,0.7
0.36,1,0.89,8.8,1.6
0.36,1,1.59,12.1,2.5
0.33,1,0.67,11.5,2.1
0.33,1,1.34,14.6,2.4
0.41,1,0.33,6.7,1
0.41,1,0.59,10.2,2.9
0.36,1,0.42,8.5,0.9
